,0,1
0,p1atypus-1932,bronze
1,multitail-1802,bronze
2,gecko-22588,bronze
3,James-110940,bronze
4,whyte-21564,bronze
5,Shaymin-11243,bronze
6,haloz-11286,bronze
7,OGtK3-1697,bronze
8,LifeofTay-1484,bronze
9,picricacid-11960,bronze
10,Iske-2326,bronze
11,Sbarnes-2973,bronze
12,Arfur-1719,bronze
13,SpookedByDad-1918,bronze
14,Badfather-1311,bronze
15,muranosa-1855,bronze
16,Beautylady-21397,bronze
17,Yvaika-11690,bronze
18,Dulluhan-1361,bronze
19,Shrikesghost-1451,bronze
20,Greylion-2323,bronze
21,marque-21938,bronze
22,rykn-1658,bronze
23,JASON-36351,bronze
24,Prodigious95-1736,bronze
25,Rigatti-1649,bronze
26,Swansong-1167,bronze
27,Akirevsa-1275,bronze
28,Shirlound-2116,bronze
29,Remnant-2335,bronze
30,edenhall-11304,bronze
31,Rubricks-1397,bronze
32,MKultra-21560,bronze
33,K44NGER-2615,bronze
34,XeNoN-21283,bronze
35,P14Y3R-2192,bronze
36,Haru-1267,bronze
37,hellraiser24-11856,bronze
38,BlackWolf-12671,bronze
39,PlayfulSyria-1304,bronze
40,FinGuppy-2994,bronze
41,Moon-24747,bronze
42,SMSH-11712,bronze
43,GigaDouche-1943,bronze
44,Unholy-1650,bronze
45,ShadowStorm-2146194,bronze
46,Abs0rbed-1356,bronze
47,WeebTrash-11561,bronze
48,Amynta-11206,bronze
49,WildRage-257833,bronze
50,Kjarkas-1119,bronze
51,BigKahona-1408,bronze
52,Zylrad-1868,bronze
53,EvoRay-21210,bronze
54,KingTut-11108,bronze
55,Animu-11582,bronze
56,Esophagitis-2820,bronze
57,wAy-3815,bronze
58,Freuh-21206,bronze
59,WhiteShadow-22381,bronze
60,IIGSTII-1313,bronze
61,Pëëð-2394,bronze
62,shadowdragon-2167246,bronze
63,snackstrat-1771,bronze
64,JGBusy-1527,bronze
65,chris-2919,bronze
66,케니-31530,bronze
67,simpiou-2690,bronze
68,grantmeaname-1633,bronze
69,Trunks-12755,bronze
70,Akio-21371,bronze
71,OwO-21826,bronze
72,somebody-31811,bronze
73,KiloDestiny-1810,bronze
74,Leownie-2621,bronze
75,KGB-31620,bronze
76,subtleties-11157,bronze
77,Buttbuttyawn-1139,bronze
78,nightmist-1936,bronze
79,taz3141-1529,bronze
80,brazta-1611,bronze
81,Kataku-21463,bronze
82,KeithMc-11284,bronze
83,TyrantToru-1881,bronze
84,Pixxxu-2610,bronze
85,Ergo-11115,bronze
86,celll-11787,bronze
87,yawarcus-2839,bronze
88,Vaima-21506,bronze
89,Malahidael-11243,bronze
90,Tobieus-1362,bronze
91,Slowwoke-1724,bronze
92,JokerLegende-2506,bronze
93,kimchijiggae-1961,bronze
94,bbhiena-1330,bronze
95,WZYDIDNOTHIN-1326,bronze
96,Osaka-11577,bronze
97,MrIneptitude-2582,bronze
98,c00rvus-1118,bronze
99,monoco55-1560,bronze
100,TwoJZ-11748,silver
101,GDS-11316,silver
102,VapingToad-1604,silver
103,ColdBeer-11324,silver
104,Dps-11610,silver
105,Willibobzy-2267,silver
106,OnThaLine-1811,silver
107,Utimah-1367,silver
108,Fyresis-1778,silver
109,Spleegie-1832,silver
110,sakanGohan-1638,silver
111,LessiGG-2829,silver
112,Kawaii-22274,silver
113,Borscht-11171,silver
114,Critical-11390,silver
115,GMONEY-12999,silver
116,caitlin-1904,silver
117,Stink-11964,silver
118,lolomatick-1399,silver
119,Gamo-2338,silver
120,XeNoN-21283,silver
121,NotSkrub-1529,silver
122,Maelstrom-12859,silver
123,Solitary-11462,silver
124,MayoNaze23-1824,silver
125,FisZu420-2277,silver
126,Durza-1311,silver
127,Croissantboi-1673,silver
128,bladepr0-1427,silver
129,Ben-1152,silver
130,Kneidl-2149,silver
131,Telri-11519,silver
132,Mango-12639,silver
133,mechazawa-21455,silver
134,czarcastic1-1849,silver
135,DeathOSG-1470,silver
136,RoseThirteen-1395,silver
137,BlackWolf-12671,silver
138,Bancounours-2865,silver
139,bloodhail-11515,silver
140,TooProMex-1507,silver
141,ThomasMaris-1895,silver
142,Sewerslvt-1476,silver
143,Aki1995-2177,silver
144,Jack-211485,silver
145,LesserOne-1624,silver
146,nahyan88-2159,silver
147,Akuma-22700,silver
148,オマンゲリオン-11275,silver
149,Verillion-11557,silver
150,Slowking-1568,silver
151,Thanatos-1183,silver
152,Voracious-11367,silver
153,Pumpi-21952,silver
154,Aunty-11359,silver
155,Woat-11706,silver
156,BLAZRIX-2442,silver
157,SleepyShaman-2441,silver
158,Solo-12245,silver
159,Nabana-11728,silver
160,GambitMonkey-1508,silver
161,Dantesco91-2782,silver
162,Sahronax-1143,silver
163,Kilgard-11113,silver
164,M5STARI-2321,silver
165,Lateralus-1141,silver
166,Fenekku-11703,silver
167,HyperEEL-1953,silver
168,Chopstix-11494,silver
169,Syrup-11320,silver
170,MimiShing-1984,silver
171,DonkeyTeeth-11129,silver
172,Sintraq-21862,silver
173,Thatfob-1243,silver
174,kande37-1980,silver
175,haxx-11874,silver
176,King-122607,silver
177,Delirium-11946,silver
178,Grimhari-2613,silver
179,fred2104-1903,silver
180,jitachi-1773,silver
181,KIROS-2615,silver
182,Xperian-11401,silver
183,Shiro-13633,silver
184,DIDYSIS-1548,silver
185,TheOneTrueJ-1546,silver
186,Oxul-21116,silver
187,Dekkarwekkar-1810,silver
188,mom-13645,silver
189,TrueWombat-1395,silver
190,spud-11213,silver
191,wayne-41911,silver
192,SirGirthalot-1877,silver
193,OniBadger-2699,silver
194,Happydude53-1761,silver
195,hunnytea-1736,silver
196,Nast-21711,silver
197,MootisPan-1289,silver
198,Amuna-21201,silver
199,Umilatrum-1257,silver
200,Doowee-1845,gold
201,ecksline-1243,gold
202,costc0-1954,gold
203,GBaller-1110,gold
204,emeralds-11212,gold
205,Swift-11108,gold
206,ASQMilan-2270,gold
207,Leewizer-2783,gold
208,ExRae-11392,gold
209,Harribo-2487,gold
210,GDS-11316,gold
211,PogChamp-22990,gold
212,parzival0152-2837,gold
213,Rojas-11673,gold
214,ITSUUUUUH-1674,gold
215,uwu-12113,gold
216,AnaPlayer-1817,gold
217,Tw1sTeN-2781,gold
218,Hanakuro-2125,gold
219,Daddy-15444,gold
220,Basilius-11967,gold
221,Hades-24327,gold
222,LightGenetic-2781,gold
223,Kickyurbutt-1174,gold
224,ThirdEye-11687,gold
225,Cooper-1137,gold
226,ZeHamburger-1763,gold
227,PoopyPigeon-1823,gold
228,TheRogueEve-1334,gold
229,tywer-11131,gold
230,Ghostie-11343,gold
231,NotSkrub-1529,gold
232,SirRiggly-1193,gold
233,PhonY-21729,gold
234,Ruffus-1158,gold
235,CmgAdventure-1474,gold
236,SKJynx-1954,gold
237,TwoJZ-11748,gold
238,Sylar-12928,gold
239,phase-21828,gold
240,LiptonIceTea-21231,gold
241,nullpointer-2535,gold
