,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
0,100.0,4359.0,910.0,43.0,33.0,74,10.0,7.0,41.0,5584.0,1086.0,5855.0,1257.0,415.0,532.0,58.0,558.0,3.91,53,3.15,4.1,0.19,104.0,3105,0.95,1.25,2.76,34.0,0.1,5.43,2343.0,9618,6.77,14.01,bronze,,,,,,
1,69.0,225.0,225.0,6.0,4.0,54,6.0,4.0,2.0,,,1000.0,1000.0,193.0,,69.0,857.0,1.71,54,3.43,5.14,,74.0,3337,3.43,1.43,0.86,,,6.0,2509.0,9641,8.57,,bronze,,,,,,
2,73.0,832.0,391.0,17.0,8.0,65,5.0,4.0,15.0,1053.0,635.0,1272.0,569.0,255.0,323.0,67.0,390.0,4.6,59,2.46,5.22,,80.0,3253,1.84,2.13,3.68,18.0,0.61,4.6,2814.0,8597,9.82,12.89,bronze,,,,,,
3,57.0,300.0,300.0,3.0,3.0,42,2.0,3.0,5.0,481.0,481.0,474.0,471.0,198.0,317.0,54.0,313.0,3.29,38,1.98,1.98,,57.0,2872,3.29,1.09,2.64,6.0,1.32,7.25,2671.0,7635,7.91,7.91,bronze,,,,,,
4,82.0,1948.0,800.0,36.0,20.0,57,12.0,6.0,27.0,,,4766.0,1751.0,387.0,,60.0,947.0,5.36,49,3.97,7.15,,102.0,4494,1.99,1.38,6.95,,0.2,7.75,2800.0,8906,10.73,,bronze,,,,,,
5,80.0,4436.0,778.0,59.0,36.0,55,9.0,7.0,63.0,6374.0,842.0,6071.0,895.0,276.0,397.0,50.0,378.0,3.93,44,2.24,3.68,0.12,72.0,3132,1.5,1.46,4.36,41.0,0.06,5.23,2320.0,8761,7.66,12.52,bronze,,,,,,
6,57.0,435.0,300.0,6.0,3.0,57,3.0,2.0,4.0,,,896.0,660.0,358.0,,53.0,738.0,3.29,52,2.47,4.94,,20.0,3046,,0.86,1.65,,0.82,5.76,1818.0,8193,4.94,,bronze,,,,,,
7,,174.0,174.0,2.0,,29,2.0,,,,,55.0,55.0,434.0,,,138.0,2.49,29,,4.98,,94.0,3029,,0.25,2.49,19.0,,9.96,2880.0,3760,2.49,4.98,bronze,1.0,,,,,
8,75.0,15915.0,960.0,177.0,100.0,57,19.0,9.0,137.0,14284.0,1407.0,10725.0,737.0,464.0,416.0,50.0,313.0,3.99,39,2.91,5.16,0.2,90.0,2575,1.34,1.28,3.73,29.0,0.06,5.68,1563.0,8708,7.29,13.73,bronze,,,,,,
9,80.0,2313.0,718.0,26.0,11.0,48,10.0,8.0,26.0,,,1594.0,682.0,474.0,,55.0,327.0,5.33,43,2.25,5.33,,39.0,3159,1.43,1.42,3.28,,0.41,6.76,2183.0,6632,9.63,,bronze,,,,,,
10,100.0,8147.0,886.0,57.0,63.0,105,6.0,8.0,64.0,9153.0,1196.0,8665.0,1090.0,496.0,558.0,49.0,528.0,3.9,47,3.84,3.47,,53.0,2241,1.52,1.18,3.29,24.0,,6.22,1545.0,9816,7.31,16.15,bronze,,,,,,
11,71.0,5395.0,622.0,128.0,77.0,91,12.0,12.0,104.0,10454.0,1030.0,7551.0,836.0,224.0,435.0,54.0,314.0,4.32,47,3.2,5.32,0.04,34.0,3611,2.91,2.31,3.95,11.0,0.25,4.49,2938.0,7583,10.39,14.92,bronze,,,,,,
12,69.0,300.0,300.0,11.0,,72,11.0,,5.0,288.0,288.0,155.0,155.0,324.0,311.0,71.0,167.0,5.4,72,,11.87,,69.0,3119,2.16,1.25,4.32,21.0,,8.63,2811.0,7759,10.79,9.71,bronze,,,,,,
13,59.0,816.0,373.0,11.0,6.0,59,4.0,2.0,4.0,405.0,189.0,487.0,259.0,381.0,189.0,53.0,227.0,1.87,49,2.8,5.13,,85.0,3720,0.47,1.22,2.33,37.0,,4.2,2533.0,7104,5.13,14.47,bronze,,,,,,
14,88.0,23205.0,894.0,342.0,159.0,100,22.0,9.0,319.0,22834.0,1184.0,24266.0,1215.0,404.0,398.0,55.0,423.0,5.56,52,2.77,5.96,0.12,56.0,4052,2.91,1.96,4.28,25.0,0.49,5.1,3146.0,9242,10.0,13.37,bronze,,,,,,
15,50.0,,,2.0,,22,2.0,,2.0,,,,,,,50.0,,5.9,22,2.95,5.9,,305.0,1807,,,8.85,,,,774.0,6207,11.8,,bronze,,1.0,1.0,,,
16,70.0,11022.0,1002.0,135.0,92.0,72,12.0,9.0,159.0,15394.0,1688.0,12325.0,1392.0,341.0,476.0,46.0,381.0,4.92,46,2.85,4.18,0.03,81.0,3457,2.6,1.86,4.98,28.0,0.34,5.6,2748.0,8494,10.39,13.83,bronze,,,,,,
17,80.0,1088.0,406.0,8.0,9.0,55,4.0,4.0,10.0,,,1369.0,590.0,369.0,,52.0,464.0,3.39,47,3.05,2.71,,33.0,2110,0.68,1.55,2.71,,0.34,3.73,1397.0,9524,5.76,,bronze,,,,,,
18,68.0,161.0,107.0,9.0,5.0,77,6.0,5.0,7.0,367.0,358.0,857.0,597.0,87.08,198.0,64.0,462.0,3.78,58,2.7,4.86,,21.0,1970,1.08,1.3,3.24,5.0,,5.4,1701.0,10443,7.02,19.97,bronze,,,,,,
19,100.0,24726.0,928.0,339.0,254.0,76,12.0,10.0,432.0,36977.0,1100.0,25414.0,1270.0,287.0,429.0,63.0,295.0,5.01,52,2.95,3.93,0.03,65.0,2718,1.75,1.53,3.27,18.0,0.19,5.26,2069.0,8565,8.05,14.48,bronze,,,,,,
20,66.0,3920.0,806.0,51.0,24.0,64,10.0,6.0,41.0,,,3406.0,825.0,508.0,,54.0,442.0,5.32,46,3.11,6.62,0.13,87.0,2996,1.56,1.91,5.71,,0.26,5.84,1836.0,8607,11.16,,bronze,,,,,,
21,50.0,852.0,311.0,18.0,7.0,58,7.0,4.0,14.0,1550.0,510.0,724.0,418.0,279.0,507.0,40.0,237.0,4.58,52,2.29,5.89,,25.0,3041,1.31,1.26,3.93,23.0,0.33,7.53,2220.0,7381,9.49,13.42,bronze,,,,,,
22,51.0,290.0,200.0,4.0,,46,2.0,,,235.0,168.0,439.0,368.0,543.0,439.0,46.0,821.0,1.87,35,,7.48,,218.0,3315,,1.5,3.74,10.0,,3.74,2193.0,7271,5.61,5.61,bronze,1.0,,,,,
23,68.0,3090.0,584.0,46.0,32.0,65,9.0,8.0,50.0,3778.0,838.0,3204.0,711.0,337.0,412.0,55.0,349.0,5.45,46,3.49,5.01,0.11,74.0,2464,1.63,1.86,5.12,26.0,0.22,5.34,2232.0,7842,9.92,16.24,bronze,,,,,,
24,60.0,857.0,366.0,14.0,10.0,62,10.0,7.0,25.0,1195.0,518.0,946.0,450.0,322.0,448.0,53.0,355.0,9.38,47,3.75,5.25,0.38,103.0,4134,4.88,3.13,7.13,34.0,,6.01,3528.0,8524,18.77,19.14,bronze,,,,,,
25,71.0,2446.0,433.0,34.0,14.0,63,6.0,3.0,40.0,2068.0,530.0,1980.0,533.0,440.0,372.0,57.0,357.0,7.2,49,2.52,6.12,,58.0,3909,2.52,1.4,5.4,14.0,0.18,8.1,3318.0,7104,11.34,14.4,bronze,,,,,,
26,54.0,1031.0,640.0,17.0,4.0,49,9.0,3.0,8.0,1069.0,539.0,483.0,235.0,522.0,542.0,49.0,245.0,4.05,43,2.03,8.62,0.51,84.0,3151,3.55,1.33,3.04,31.0,0.51,7.6,2420.0,5259,10.14,8.11,bronze,,,,,,
27,80.0,14020.0,1161.0,132.0,106.0,56,12.0,11.0,214.0,15576.0,1043.0,11047.0,777.0,396.0,440.0,55.0,312.0,6.04,45,2.99,3.73,0.03,53.0,3651,2.77,1.99,4.43,26.0,0.54,5.59,3043.0,8057,11.15,15.08,bronze,,,,,,
28,70.0,12975.0,1008.0,247.0,108.0,58,16.0,9.0,204.0,13845.0,964.0,16665.0,1252.0,334.0,356.0,51.0,429.0,5.25,47,2.78,6.35,,93.0,2841,1.62,1.29,5.12,47.0,0.08,7.46,2250.0,8160,9.64,15.38,bronze,,,,,,
29,77.0,220.0,113.0,16.0,7.0,70,8.0,6.0,23.0,1191.0,514.0,1235.0,370.0,102.0,555.0,67.0,576.0,10.73,58,3.26,7.46,0.47,72.0,6285,5.6,2.62,6.06,40.0,1.4,6.06,4535.0,8592,15.86,16.79,bronze,,,,,,
30,55.0,313.0,313.0,5.0,,52,5.0,,2.0,,,123.0,123.0,422.0,,55.0,165.0,2.7,52,,6.74,,0.0,2709,,0.43,1.35,0.0,,9.44,2493.0,6918,4.05,12.14,bronze,,,,,,
31,33.0,1632.0,829.0,26.0,5.0,46,14.0,4.0,10.0,748.0,365.0,382.0,271.0,510.0,234.0,40.0,120.0,3.13,41,1.56,8.13,,92.0,3331,1.25,0.61,2.5,58.0,,9.69,2490.0,3064,5.94,5.63,bronze,,,,,,
32,56.0,1008.0,508.0,14.0,9.0,45,6.0,7.0,14.0,1483.0,670.0,1169.0,525.0,343.0,505.0,52.0,398.0,4.77,41,3.07,4.77,,57.0,3722,2.72,1.42,5.11,15.0,,6.47,2695.0,6072,9.2,14.99,bronze,,,,,,
33,57.0,100.0,100.0,6.0,4.0,56,6.0,4.0,7.0,795.0,795.0,932.0,932.0,56.78,452.0,57.0,529.0,3.97,50,2.27,3.41,0.57,86.0,2446,2.27,2.2,4.54,16.0,0.57,2.84,2367.0,11451,6.25,12.49,bronze,,,,,,
34,69.0,31094.0,1425.0,274.0,209.0,74,15.0,12.0,309.0,30710.0,1617.0,25433.0,1527.0,454.0,448.0,56.0,371.0,4.51,51,3.05,4.0,0.16,57.0,3183,2.76,1.85,4.01,26.0,0.29,5.31,2694.0,8373,9.83,14.71,bronze,,,,,,
35,46.0,208.0,208.0,3.0,,34,3.0,,,,,440.0,440.0,411.0,,46.0,869.0,1.97,34,1.97,5.92,,4.0,2684,1.97,0.5,,,,7.89,2015.0,8943,3.95,,bronze,1.0,1.0,1.0,,,
36,64.0,2696.0,598.0,78.0,30.0,60,13.0,7.0,67.0,4452.0,893.0,4201.0,609.0,243.0,401.0,49.0,378.0,6.03,49,2.7,7.02,0.09,69.0,3464,1.62,1.84,4.5,22.0,0.18,6.12,2873.0,8656,11.26,16.75,bronze,,,,,,
